epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2205,0.50414,1.91877,0.95422,0.98674,0.32278,0.61518,0.58874,0.30349,2.44316,0.87048,0.00035725,0.00035725,0.00035725
2,45.6775,0.34323,0.58061,0.86983,0.99294,0.32068,0.6505,0.61594,0.32713,1.92111,0.91615,0.000721575,0.000721575,0.000721575
3,65.8663,0.32846,0.5062,0.86384,0.78854,0.6417,0.65426,0.63288,0.28699,1.1634,0.86472,0.00107854,0.00107854,0.00107854
4,85.1925,0.34101,0.45545,0.86855,0.99596,0.65336,0.65628,0.65068,0.26341,0.63832,0.83367,0.00138656,0.00138656,0.00138656
5,105.751,0.3313,0.42443,0.86701,0.99404,0.65318,0.6531,0.62539,0.30274,0.53863,0.87852,0.00137241,0.00137241,0.00137241
6,125.842,0.31517,0.3835,0.8592,0.9933,0.65484,0.65299,0.64781,0.23251,0.43124,0.8293,0.00135826,0.00135826,0.00135826
7,145.53,0.31327,0.35401,0.85687,0.99526,0.65579,0.65512,0.64037,0.25698,0.50653,0.85155,0.00134412,0.00134412,0.00134412
8,166.154,0.30682,0.3361,0.8539,0.99387,0.65629,0.6546,0.64148,0.2394,0.42168,0.81866,0.00132997,0.00132997,0.00132997
9,185.397,0.30783,0.31751,0.85142,0.98751,0.65338,0.65449,0.65104,0.21027,0.41099,0.80332,0.00131582,0.00131582,0.00131582
10,205.561,0.29519,0.30332,0.85536,0.99599,0.65542,0.65574,0.65409,0.19541,0.50481,0.79584,0.00130168,0.00130168,0.00130168
11,225.421,0.28759,0.28917,0.85078,0.99455,0.6565,0.65382,0.63309,0.24418,0.32455,0.83344,0.00128753,0.00128753,0.00128753
12,246.128,0.29148,0.28347,0.84776,0.99371,0.65644,0.65428,0.64538,0.20354,0.31696,0.79739,0.00127338,0.00127338,0.00127338
13,265.734,0.28227,0.27253,0.84929,0.98273,0.65555,0.65527,0.64073,0.24799,0.60101,0.821,0.00125923,0.00125923,0.00125923
14,286.436,0.28552,0.26848,0.84784,0.99528,0.65609,0.65522,0.65407,0.20991,0.32799,0.80585,0.00124509,0.00124509,0.00124509
15,307.035,0.2775,0.26769,0.85071,0.99617,0.65506,0.65322,0.65128,0.19801,0.41084,0.79591,0.00123094,0.00123094,0.00123094
16,326.33,0.28531,0.26163,0.84473,0.99491,0.65625,0.65357,0.65319,0.19236,0.47188,0.79222,0.00121679,0.00121679,0.00121679
17,346.612,0.27894,0.24919,0.85177,0.99499,0.65632,0.65369,0.65086,0.19805,0.38597,0.79662,0.00120265,0.00120265,0.00120265
